car_id;car_class_id;team_id;driver_id;name;rating_old
72;473;-113671;313900;David Delasalle;1703
72;473;-113671;321146;Julien Nacci;2674
72;473;-115501;-115501;Phoenix Racing eSport Pink;0
72;473;-115501;184521;Thomas Engelns;2659
72;473;-115501;221872;Helmut Klose;3266
72;473;-115501;222206;Christian Wallner;1709
72;473;-115501;301348;Jan Lukas Vonderbank;2188
92;100;-115559;-115559;La Resistance - Le Mans;0
92;100;-115559;157403;Jose Ramon Buela;3300
92;100;-115559;182286;Alejandro Soto;3731
92;100;-115559;221040;Manuel Fidalgo;3880
92;100;-115559;92527;Matias Barbera;2116
70;77;-116458;-116458;Krusty Krab Pizza Delivery;0
70;77;-116458;39098;Lewis Bussa III;2154
70;77;-116458;57580;Ben M Bando;2707
70;77;-116458;86670;Cristian Vasquez;1874
70;77;-116458;87316;Jovan Cherry;1840
72;473;-116478;-116478;CARL Simsport Discoblob;0
72;473;-116478;190917;Siim Loog;2241
72;473;-116478;318389;Samuel Jordan;3924
72;473;-116478;318702;Frits vd Zalm;4185
72;473;-116478;319375;Luca Babetto;2083
73;473;-116479;-116479;CARL Simsport Bottlejob;0
73;473;-116479;193017;Rune Janssens;4435
73;473;-116479;223837;George DeAngelo;2177
73;473;-116479;300888;Samuel Astolfi;2148
73;473;-116480;-116480;CARL Simsport Dewitt Fardail;0
73;473;-116480;242549;Alex Baciu;2496
73;473;-116480;324131;Ryan D Wilson;1562
73;473;-116480;348666;Geary Wariwisaya;2181
72;473;-117164;-117164;Manzo Racing Team Silver;0
72;473;-117164;154439;Daniele Guttuso;2347
72;473;-117164;244449;Francesco Stortoni;2360
72;473;-117164;259923;Juan Ignacio Jodurcha;1925
72;473;-117164;278254;Salvatore Sciacca;2340
72;473;-117164;328149;Maurizio Masi;1653
73;473;-117899;-117899;Team Ammerdorfer;0
73;473;-117899;103008;Pascal Ammerdorfer;1555
73;473;-117899;81223;Will Ammerdorfer;3137
70;77;-118201;-118201;Outrun Motorsport Purple;0
70;77;-118201;135868;Keenan Kusan;2109
70;77;-118201;17179;James Howard;1707
70;77;-118204;-118204;Outrun Motorsports Blue;0
70;77;-118204;30635;Ian Plasch;2102
70;77;-118306;-118306;Guess Work Motorsports;0
70;77;-118306;29928;Chad Pruitt;2148
102;100;-12324;-12324;Oceanic Sim Racing;0
102;100;-12324;16154;Guy Leach;3751
102;100;-12324;76404;Justin V Ruggier;5329
70;77;-29637;-29637;GONE BROKE RACING 1;0
70;77;-29637;109501;David Fernandes;1589
70;77;-29637;110678;Christopher Sherburn;1611
70;77;-29637;168600;Ian Roskell;2483
70;77;-29637;48282;Dale Green;1718
70;77;-29637;78184;Matt Owens;1417
70;77;-29637;80949;Sheldon Woloshyn;1289
70;77;-29637;96487;Armando Edwards;1707
70;77;-34259;-34259;Cronos SimRacers (CSR);0
70;77;-34259;182372;Albert Chasco;1275
70;77;-34259;183267;Oscar Dominguez;2645
70;77;-34259;194683;Sergi Acero;2189
70;77;-34259;302624;Israel Alonso;1638
70;77;-34259;90308;Alex López;1719
70;77;-34536;-34536;I AIN'T LIFTING;0
70;77;-34536;136493;Randy Armes;1533
70;77;-34536;195265;Glenn Murphy Jr;2025
70;77;-34536;196527;Clay Dildine;1285
92;100;-36847;-36847;iRJA GT Ford Team;0
92;100;-36847;169945;Yasuta Shiraiwa;4217
92;100;-36847;17241;Shuji Aratani;1952
92;100;-36847;58408;Kenichi Sakurada;1957
92;100;-36847;74052;Kouichi Kitamura;3829
92;100;-36847;74522;Yuji Kurokawa;3551
92;100;-36847;78631;Tatsuya Kimura;3003
70;77;-38624;-38624;Cavallo Nero Simsport;0
70;77;-38624;112206;Christopher Hacker;2437
70;77;-38624;167802;John Stetzel;2411
70;77;-38624;308605;Erik Luke2;2038
70;77;-38624;68347;Paul Wildridge;2159
93;100;-46113;-46113;Pure Motorsport 2;0
93;100;-46113;212449;Roberte Eduard;3687
93;100;-46113;245372;Nick Sigley;3127
93;100;-46113;76357;Bekir Karaca;3816
